p: 358.213507674, r: 10.4334554667, y: 214.060796004
p: 358.60992577, r: 9.81897408288, y: 211.592324657
p: 358.969172376, r: 9.26781282158, y: 209.213533694
p: 359.291233885, r: 8.74889602958, y: 206.91775685
p: 359.564325792, r: 8.16742324251, y: 204.703177294
p: 359.817637484, r: 7.84398134191, y: 202.580600387
p: 0.0409371690123, r: 7.2815400232, y: 200.543305222
p: 0.235969615569, r: 6.76034835132, y: 198.588628025
p: 0.404755782915, r: 6.31346785694, y: 196.703441172
p: 0.556126702105, r: 5.79812453454, y: 194.896692212
p: 0.686577552281, r: 5.30101610967, y: 193.152753672
p: 0.798717358982, r: 4.94176864989, y: 191.470997174
p: 0.890098833414, r: 4.46247890791, y: 189.855001737
p: 0.969422942887, r: 4.01278309493, y: 188.307581399
p: 1.03567385685, r: 3.76123448488, y: 186.803300536
p: 1.07859135049, r: 3.32852172383, y: 185.373127226
p: 1.11128693244, r: 2.90325173455, y: 184.002813694
p: 1.14070786557, r: 2.5159494862, y: 182.689395637
p: 1.15513237132, r: 2.13441768049, y: 181.431807547
p: 1.16163236354, r: 1.8133225902, y: 180.250662934
p: 1.15732422172, r: 1.45895103172, y: 179.114156794
p: 1.1489469947, r: 1.12992385065, y: 178.006559658
p: 1.13311973885, r: 0.807861915064, y: 176.932293845
p: 1.10986721359, r: 0.562387424253, y: 175.909636941
p: 1.09289195235, r: 0.27465588707, y: 174.922059889
p: 1.07076726208, r: 359.998803811, y: 173.972772878
p: 1.03886931816, r: 359.719564812, y: 173.061106548
p: 1.00095355069, r: 359.4826454, y: 172.224503997
p: 0.967692557149, r: 359.391567976, y: 171.402326806
p: 0.934269453333, r: 359.158585421, y: 170.606937617
p: 0.900865132536, r: 358.927915152, y: 169.850016053
p: 0.864218873122, r: 358.71701129, y: 169.127805511
p: 0.823991246706, r: 358.513440063, y: 168.458856783
p: 0.788537442272, r: 358.327912595, y: 167.797913038
p: 0.749818860775, r: 358.231485799, y: 167.149099708
p: 0.712274858372, r: 358.054097888, y: 166.529820117
p: 0.671117845981, r: 357.887277348, y: 165.943858188
p: 0.628589246227, r: 357.728892518, y: 165.378605392
p: 0.584480524897, r: 357.57041975, y: 164.828146787
p: 0.541261435707, r: 357.434912212, y: 164.300678598
p: 0.504076391762, r: 357.433785231, y: 163.808754713
p: 0.467038570409, r: 357.303386034, y: 163.325737396
p: 0.429351214075, r: 357.178904129, y: 162.857896758
p: 0.403655989057, r: 357.052802401, y: 162.399522763
p: 0.369987025111, r: 356.937783083, y: 161.950752014
p: 0.337039926782, r: 356.832600091, y: 161.518933794
p: 0.306303701991, r: 356.719512008, y: 161.094355575
p: 0.269130023907, r: 356.611223415, y: 160.718380982
